tweet_id,tweet_text,stance_target,stance_label,tweet_image
1310871230761689090,"#Debates2020 
#DebateTuesday 

@JoeBiden , When 45 challenges you on raising taxes on folks making over $400,000.00 &amp; he will, ask tRump why he cares seeing as he doesn't believe in paying taxes.

#wtpBlue 
#ONEV1 
#RidinWithBidenHarris 🌊 https://t.co/s8l0tMMbrG",Joe Biden,Favor,images/1310871230761689090_0.jpg
1309197478151897088,"Booed...VOTE HIM OUT.
You are killing our democracy. #TrumpLiedPeopleDied #TrumpCoupPlot #TrumpIsARapist #TrumpMeltdown #Trump #BidenHarrisToSaveAmerica #FlipTheSenateBlue #TrumpIsATraitor #TrumpisaLiar #TrumpBooed #ThursdayThoughts #TraitorTrump https://t.co/5a5HVABNoM",Joe Biden,Favor,images/1309197478151897088_0.jpg
1310643124214075397,"@jimmyfallon @bts_bighit @Milliestopshate @JohnCena @AdamSandler I'm busy on #BSTuesday night as 'the Donald' 🇺🇸🍊🤡 attempts to outwit, outplay &amp; outlast the next @POTUS @JoeBiden! #PresidentialDebate2020 #BlueWave #RidinWithBiden Photo c/o @JimCarrey ©2020 https://t.co/cSSMKy3Mwj",Joe Biden,Favor,images/1310643124214075397_0.jpg
1310661195070808064,"Rogan O'Handley @DC_Draino: @JoeBiden Will Do Fine at First Debate But Won’t Get Into the Details of Radical Policy ‘Manifesto':
https://t.co/LYKq1xHqFd
#RoganOHandley #JoeBiden #PresidentialDebate2020 #PresidentialDebate https://t.co/Z8RxOs8qnH",Joe Biden,Neutral,images/1310661195070808064_0.jpg
1310939235277508610,"@WTEDyke Thank you! Thank you! 

How are you watching the debate tonight?
#BidenCalm #PresidentialDebate2020 #TrumpTaxes https://t.co/HRK4FN28KQ",Joe Biden,Favor,images/1310939235277508610_0.jpg
1310994896275283970,"Ready.
#PresidentialDebate2020 #Debate #BidenHarris2020 https://t.co/gO8UXgyaIu",Joe Biden,Favor,images/1310994896275283970_0.jpg
1308813451972796422,"@realDonaldTrump No worries. We're doing Mail-In Ballots and hand delivering them early! No #VoterSuppression for me! 

#GOTV #MailInVoting #VoteBlueToEndThisNightmare #VoteBlueDownBallot #BidenHarris2020ToSaveAmerica https://t.co/3JxDdJlvsn",Joe Biden,Favor,images/1308813451972796422_0.jpg
1311031350607052800,Joe Biden walking into tonight's debate with Trump. #Debates2020 @ProjectLincoln @gtconway3d @TheRickWilson https://t.co/hfBdrGmyI1,Joe Biden,Against,images/1311031350607052800_0.jpg
1292613217500516353,@ACTBrigitte So many people are blinded by their hatred for @realDonaldTrump because of the Fake News and schemers they will never realize he might actual be the answer to our problems. Just let the man work! #Trump2020 #TrumpUnleashed https://t.co/m9OwOfhAqX,Joe Biden,Against,images/1292613217500516353_0.jpg
1310984966163984384,Biden campaign calls out Facebook for spreading Team Trump’s dangerous voting lies https://t.co/EQXVtPnKf9 #TC #2020Election #Facebook #JoeBiden https://t.co/qbcyoVHJoF,Joe Biden,Favor,images/1310984966163984384_0.jpg
1310971674821447685,Biden voters 😬#PresidentialDebate2020 #Biden2020 https://t.co/Naj87PIQgb,Joe Biden,Favor,images/1310971674821447685_0.jpg
